model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,1,2019,2012,2019,2020,2019,al jazeera and,17.15887451171875,28.0,-19.84112548828125,-9.0
full,42,1,2019,2012,2019,2020,2019,al jazeera english,-0.00798872485756874,8.0,-0.00798872485756874,8.0
full,42,1,2019,2012,2019,2020,2019,al-jazeera,2.9038960933685303,33.0,-32.09610390663147,-2.0
full,42,1,2019,2012,2019,2020,2019,aleppo,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,algorithmic,12.166909217834473,18.0,-2.8330907821655273,3.0
full,42,1,2019,2012,2019,2020,2019,algorithms,9.714469909667969,40.0,-5.285530090332031,25.0
full,42,1,2019,2012,2019,2020,2019,alignment,8.711760520935059,9.0,-0.2882394790649414,0.0
full,42,1,2019,2012,2019,2020,2019,along,10.424495697021484,16.0,-5.575504302978516,0.0
full,42,1,2019,2012,2019,2020,2019,along the silk,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,alternative,3.871811866760254,55.0,-33.128188133239746,18.0
full,42,1,2019,2012,2019,2020,2019,america,19.14699363708496,165.0,-97.85300636291504,48.0
full,42,1,2019,2012,2019,2020,2019,american,6.537147521972656,103.0,-82.46285247802734,14.0
full,42,1,2019,2012,2019,2020,2019,an empirical,2.085270881652832,17.0,-15.914729118347168,-1.0
full,42,1,2019,2012,2019,2020,2019,an empirical study,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,an example,7.917545318603516,8.0,-0.08245468139648438,0.0
full,42,1,2019,2012,2019,2020,2019,an exploratory,13.002704620361328,32.0,-17.997295379638672,1.0
full,42,1,2019,2012,2019,2020,2019,an exploratory study,13.002704620361328,32.0,-17.997295379638672,1.0
full,42,1,2019,2012,2019,2020,2019,an immersive,2.6321394443511963,0.0,-4.367860555648804,-7.0
full,42,1,2019,2012,2019,2020,2019,an integrated,-0.00798872485756874,8.0,-0.00798872485756874,8.0
full,42,1,2019,2012,2019,2020,2019,an introduction,8.799330711364746,19.0,-5.200669288635254,5.0
full,42,1,2019,2012,2019,2020,2019,an investigation,4.971909999847412,16.0,-11.028090000152588,0.0
full,42,1,2019,2012,2019,2020,2019,an overview,1.06148362159729,14.0,-7.93851637840271,5.0
full,42,1,2019,2012,2019,2020,2019,an overview of,2.0276875495910645,14.0,-15.972312450408936,-4.0
full,42,1,2019,2012,2019,2020,2019,analyses,2.44924259185791,18.0,-11.55075740814209,4.0
full,42,1,2019,2012,2019,2020,2019,analytic hierarchy process,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,analytical,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,analytics,12.420147895812988,58.0,-32.57985210418701,13.0
full,42,1,2019,2012,2019,2020,2019,analyzing,0.48166558146476746,5.0,-4.5183344185352325,0.0
full,42,1,2019,2012,2019,2020,2019,ancient,3.959016799926758,66.0,-44.04098320007324,18.0
full,42,1,2019,2012,2019,2020,2019,ancient city,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,and al jazeera,3.2508420944213867,36.0,-24.749157905578613,8.0
full,42,1,2019,2012,2019,2020,2019,and disaster risk,6.082606315612793,6.0,0.08260631561279297,0.0
full,42,1,2019,2012,2019,2020,2019,and future directions,4.971909999847412,25.0,-11.028090000152588,9.0
full,42,1,2019,2012,2019,2020,2019,and generative ai,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,and nation branding,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,and place branding,2.9685075283050537,5.0,-5.031492471694946,-3.0
full,42,1,2019,2012,2019,2020,2019,and the future,3.285996675491333,9.0,-5.714003324508667,0.0
full,42,1,2019,2012,2019,2020,2019,and the future of,3.285996675491333,9.0,-5.714003324508667,0.0
full,42,1,2019,2012,2019,2020,2019,and user-generated content,2.9685075283050537,8.0,-5.031492471694946,0.0
full,42,1,2019,2012,2019,2020,2019,annual,7.044331073760986,7.0,0.04433107376098633,0.0
full,42,1,2019,2012,2019,2020,2019,answering,-0.00798872485756874,0.0,-0.00798872485756874,0.0
full,42,1,2019,2012,2019,2020,2019,antecedents,12.950937271118164,34.0,-12.049062728881836,9.0
full,42,1,2019,2012,2019,2020,2019,anxiety,7.044331073760986,11.0,0.04433107376098633,4.0
full,42,1,2019,2012,2019,2020,2019,applications,20.859174728393555,124.0,-82.14082527160645,21.0
full,42,1,2019,2012,2019,2020,2019,applications in,18.0672607421875,62.0,-35.9327392578125,8.0
full,42,1,2019,2012,2019,2020,2019,applications of,13.635889053344727,41.0,-12.364110946655273,15.0
full,42,1,2019,2012,2019,2020,2019,applied,5.686976909637451,15.0,-13.313023090362549,-4.0
full,42,3,2019,2012,2019,2022,2019,21st century,18.161243438720703,52.0,-13.838756561279297,20.0
full,42,3,2019,2012,2019,2022,2019,3d laser,15.16002082824707,41.0,-22.83997917175293,3.0
full,42,3,2019,2012,2019,2022,2019,3d laser scanning,13.063956260681152,41.0,-16.936043739318848,11.0
full,42,3,2019,2012,2019,2022,2019,3d modeling,0.8871464133262634,0.0,-8.112853586673737,-9.0
full,42,3,2019,2012,2019,2022,2019,3d modelling,7.507785320281982,9.0,-1.4922146797180176,0.0
full,42,3,2019,2012,2019,2022,2019,3d models,8.14271068572998,29.0,-23.85728931427002,-3.0
full,42,3,2019,2012,2019,2022,2019,3d printing,0.9494742751121521,40.0,-8.050525724887848,31.0
full,42,3,2019,2012,2019,2022,2019,3d scanning,13.341158866882324,36.0,-16.658841133117676,6.0
full,42,3,2019,2012,2019,2022,2019,abroad,13.842999458312988,17.0,-16.15700054168701,-13.0
full,42,3,2019,2012,2019,2022,2019,acceptance,8.578207969665527,9.0,-28.421792030334473,-28.0
full,42,3,2019,2012,2019,2022,2019,access,5.6628618240356445,53.0,-58.337138175964355,-11.0
full,42,3,2019,2012,2019,2022,2019,accessible,2.1513748168945312,12.0,-3.8486251831054688,6.0
full,42,3,2019,2012,2019,2022,2019,accuracy,0.03204791247844696,6.0,0.03204791247844696,6.0
