model,seed,horizon,forecast_origin,history_start,history_end,target_year,train_cutoff,topic_id,prediction,actual,predicted_growth,actual_growth
full,42,1,2019,2012,2019,2020,2019,relations,63.35710144042969,247.0,-176.6428985595703,7.0
full,42,1,2019,2012,2019,2020,2019,place,40.929447174072266,285.0,-197.07055282592773,47.0
full,42,1,2019,2012,2019,2020,2019,role,64.25630950927734,315.0,-172.74369049072266,78.0
full,42,1,2019,2012,2019,2020,2019,conflict,64.23898315429688,255.0,-171.76101684570312,19.0
full,42,1,2019,2012,2019,2020,2019,案例研究,59.354698181152344,237.0,-176.64530181884766,1.0
full,42,1,2019,2012,2019,2020,2019,原真性,62.776668548583984,264.0,-165.22333145141602,36.0
full,42,1,2019,2012,2019,2020,2019,time,64.39078521728516,382.0,-162.60921478271484,155.0
full,42,1,2019,2012,2019,2020,2019,product,53.93083953857422,212.0,-171.06916046142578,-13.0
full,42,1,2019,2012,2019,2020,2019,africa,58.52885055541992,227.0,-160.47114944458008,8.0
full,42,1,2019,2012,2019,2020,2019,sites,60.573944091796875,246.0,-157.42605590820312,28.0
full,42,1,2019,2012,2019,2020,2019,language,33.56145095825195,220.0,-177.43854904174805,9.0
full,42,1,2019,2012,2019,2020,2019,brand,52.64863204956055,233.0,-155.35136795043945,25.0
full,42,1,2019,2012,2019,2020,2019,silk,59.335044860839844,373.0,-144.66495513916016,169.0
full,42,1,2019,2012,2019,2020,2019,plan,36.814598083496094,213.0,-165.1854019165039,11.0
full,42,1,2019,2012,2019,2020,2019,可持续发展,57.81736373901367,212.0,-140.18263626098633,14.0
full,42,1,2019,2012,2019,2020,2019,the middle east,41.975006103515625,221.0,-154.02499389648438,25.0
full,42,1,2019,2012,2019,2020,2019,carrying,48.07524108886719,211.0,-146.9247589111328,16.0
full,42,1,2019,2012,2019,2020,2019,效果,62.734134674072266,271.0,-132.26586532592773,76.0
full,42,1,2019,2012,2019,2020,2019,分析,58.989219665527344,212.0,-133.01078033447266,20.0
full,42,1,2019,2012,2019,2020,2019,reality,59.19527053833008,209.0,-131.80472946166992,18.0
full,42,1,2019,2012,2019,2020,2019,content,54.45395278930664,210.0,-135.54604721069336,20.0
full,42,1,2019,2012,2019,2020,2019,middle east,46.489990234375,203.0,-142.510009765625,14.0
full,42,1,2019,2012,2019,2020,2019,服务,62.058326721191406,179.0,-125.9416732788086,-9.0
full,42,1,2019,2012,2019,2020,2019,source,58.47772216796875,213.0,-128.52227783203125,26.0
full,42,1,2019,2012,2019,2020,2019,carrying capacity,47.34442901611328,202.0,-138.65557098388672,16.0
full,42,1,2019,2012,2019,2020,2019,数字,62.055381774902344,322.0,-122.94461822509766,137.0
full,42,1,2019,2012,2019,2020,2019,in the middle,48.534645080566406,190.0,-133.4653549194336,8.0
full,42,1,2019,2012,2019,2020,2019,系统综述,59.1231803894043,222.0,-122.8768196105957,40.0
full,42,1,2019,2012,2019,2020,2019,实践,60.6547966003418,169.0,-117.3452033996582,-9.0
full,42,1,2019,2012,2019,2020,2019,graph,57.924598693847656,179.0,-118.07540130615234,3.0
full,42,1,2019,2012,2019,2020,2019,outbound,26.57053565979004,176.0,-149.42946434020996,0.0
full,42,1,2019,2012,2019,2020,2019,语境,59.50626754760742,209.0,-115.49373245239258,34.0
full,42,1,2019,2012,2019,2020,2019,框架,52.39712905883789,221.0,-119.60287094116211,49.0
full,42,1,2019,2012,2019,2020,2019,al jazeera,57.53413772583008,181.0,-113.46586227416992,10.0
full,42,1,2019,2012,2019,2020,2019,jazeera,57.53413772583008,181.0,-113.46586227416992,10.0
full,42,1,2019,2012,2019,2020,2019,流程,61.32902526855469,194.0,-107.67097473144531,25.0
full,42,1,2019,2012,2019,2020,2019,belt,59.48027801513672,236.0,-106.51972198486328,70.0
